Season,Team,Games,Saves,Goals Conceded,Clean Sheets,Saves per game,Goals Conceded per game,Clean Sheets per game,Saves%,Save Rate
1994-1995,QPR,42,135.0,59.0,10.0,3.2142857142857144,1.4047619047619047,0.23809523809523808,0.6958762886597938,0.6958762886597938
1994-1995,Coventry City,42,151.0,62.0,13.0,3.5952380952380953,1.4761904761904763,0.30952380952380953,0.7089201877934272,0.7089201877934272
1994-1995,Blackburn,42,126.0,39.0,16.0,3.0,0.9285714285714286,0.38095238095238093,0.7636363636363637,0.7636363636363637
1994-1995,Norwich City,42,141.0,53.0,10.0,3.357142857142857,1.2619047619047619,0.23809523809523808,0.7268041237113402,0.7268041237113402
1994-1995,Chelsea,42,159.0,55.0,13.0,3.7857142857142856,1.3095238095238095,0.30952380952380953,0.7429906542056075,0.7429906542056075
1994-1995,Newcastle Utd,42,138.0,47.0,14.0,3.2857142857142856,1.119047619047619,0.3333333333333333,0.745945945945946,0.745945945945946
1994-1995,Liverpool,42,133.0,37.0,16.0,3.1666666666666665,0.8809523809523809,0.38095238095238093,0.7823529411764706,0.7823529411764706
1994-1995,Everton,42,181.0,51.0,14.0,4.309523809523809,1.2142857142857142,0.3333333333333333,0.7801724137931034,0.7801724137931034
1994-1995,Leeds United,42,160.0,38.0,17.0,3.8095238095238093,0.9047619047619048,0.40476190476190477,0.8080808080808081,0.8080808080808081
1994-1995,Crystal Palace,42,147.0,49.0,14.0,3.5,1.1666666666666667,0.3333333333333333,0.75,0.75
1994-1995,West Ham,42,144.0,48.0,13.0,3.4285714285714284,1.1428571428571428,0.30952380952380953,0.75,0.75
1994-1995,Manchester Utd,42,nan,nan,nan,nan,nan,nan,0,0
1994-1995,Leicester City,42,165.0,80.0,4.0,3.9285714285714284,1.9047619047619047,0.09523809523809523,0.673469387755102,0.673469387755102
