Home Team,Away Team,Home Team ELO,Away Team ELO,Home Team Win Percentage,Home Team Draw Percentage,Away Team Win Percentage,Away Team Draw Percentage,Winner
Southampton,Aston Villa,1475,1580,24.0,36.0,52.0,32.0,1
Sheffield Utd,QPR,1440,1521,25.0,29.17,41.67,25.0,-1
Chelsea,Sheffield Weds,1497,1548,36.0,36.0,33.33,37.5,-1
Everton,Norwich City,1479,1564,36.0,20.0,52.0,24.0,-1
Ipswich Town,Manchester Utd,1560,1599,36.0,48.0,52.0,32.0,1
Crystal Palace,Tottenham,1445,1493,24.0,36.0,28.0,32.0,-1
Leeds United,Middlesbrough,1473,1456,29.17,29.17,28.0,36.0,1
Arsenal,Liverpool,1487,1493,41.67,20.83,34.78,21.74,-1
Blackburn,Crystal Palace,1489,1464,42.31,30.77,23.08,34.62,-1
QPR,Manchester City,1521,1531,44.0,24.0,42.31,23.08,0
Oldham Athletic,Chelsea,1437,1477,24.0,24.0,34.62,34.62,1
Liverpool,Nott'ham Forest,1491,1456,37.5,20.83,24.0,24.0,0
Manchester Utd,Sheffield Utd,1608,1431,50.0,30.77,24.0,28.0,1
Aston Villa,Ipswich Town,1595,1545,50.0,30.77,38.46,46.15,1
Sheffield Weds,Everton,1561,1466,36.0,36.0,34.62,19.23,1
Middlesbrough,Coventry City,1442,1523,26.92,34.62,37.04,33.33,-1
Wimbledon,Leeds United,1487,1457,23.08,34.62,32.0,28.0,1
Tottenham,Southampton,1508,1460,30.77,30.77,26.92,34.62,1
Leeds United,Manchester Utd,1464,1601,30.77,26.92,51.85,29.63,0
Sheffield Utd,Middlesbrough,1448,1425,23.08,26.92,25.93,33.33,1
Ipswich Town,QPR,1544,1522,37.04,44.44,42.31,26.92,0
Crystal Palace,Aston Villa,1486,1573,25.93,33.33,51.85,29.63,1
Arsenal,Wimbledon,1471,1503,40.0,20.0,25.93,33.33,-1
Everton,Tottenham,1452,1522,33.33,18.52,33.33,29.63,-1
Chelsea,Liverpool,1478,1490,33.33,33.33,36.0,24.0,0
Southampton,Norwich City,1481,1543,25.93,33.33,53.85,23.08,1
Southampton,Liverpool,1497,1474,28.57,32.14,34.62,26.92,1
Leeds United,Oldham Athletic,1479,1422,29.63,29.63,26.92,23.08,1
Chelsea,Aston Villa,1466,1585,32.14,35.71,50.0,28.57,-1
Manchester Utd,Southampton,1612,1486,50.0,32.14,31.03,31.03,1
Liverpool,Ipswich Town,1477,1541,33.33,25.93,35.71,46.43,0
Middlesbrough,Nott'ham Forest,1410,1471,25.0,32.14,23.08,26.92,-1
Oldham Athletic,Arsenal,1408,1485,25.93,22.22,38.46,19.23,-1
Tottenham,Leeds United,1536,1465,35.71,28.57,32.14,28.57,1
Aston Villa,Everton,1595,1442,51.72,27.59,32.14,17.86,1
QPR,Coventry City,1538,1507,40.74,29.63,39.29,32.14,1
Wimbledon,Sheffield Utd,1516,1435,28.57,32.14,25.93,25.93,1
Sheffield Weds,Crystal Palace,1574,1473,38.46,34.62,28.57,32.14,1
Norwich City,Manchester City,1558,1516,51.85,22.22,40.74,25.93,1
Blackburn,Chelsea,1504,1451,40.74,29.63,31.03,34.48,1
Sheffield Utd,Oldham Athletic,1450,1393,25.0,25.0,25.0,21.43,1
Manchester City,Sheffield Weds,1503,1587,39.29,25.0,40.74,33.33,-1
Nott'ham Forest,QPR,1490,1519,25.93,25.93,42.86,28.57,1
Arsenal,Leeds United,1484,1466,40.74,18.52,31.03,27.59,0
Everton,Oldham Athletic,1440,1395,31.03,17.24,24.14,20.69,0
Southampton,Sheffield Utd,1500,1436,30.0,30.0,27.59,24.14,1
Tottenham,QPR,1551,1504,37.93,27.59,41.38,27.59,1
Aston Villa,Wimbledon,1607,1504,53.33,26.67,31.03,31.03,1
Manchester Utd,Middlesbrough,1620,1402,51.72,31.03,24.14,31.03,1
Nott'ham Forest,Manchester City,1475,1518,28.57,25.0,37.93,24.14,-1
Leeds United,Ipswich Town,1485,1522,30.0,30.0,34.48,48.28,1
Crystal Palace,Coventry City,1475,1505,27.59,31.03,37.93,31.03,0
Sheffield Weds,Liverpool,1582,1482,42.86,32.14,32.14,28.57,0
Norwich City,Blackburn,1556,1506,53.57,21.43,42.86,28.57,0
Chelsea,Arsenal,1469,1466,30.0,33.33,39.29,21.43,1
Ipswich Town,Middlesbrough,1501,1423,33.33,46.67,23.33,30.0,-1
Sheffield Utd,Tottenham,1457,1530,26.67,23.33,40.0,26.67,1
Norwich City,Arsenal,1552,1470,51.72,24.14,37.93,20.69,0
Coventry City,Sheffield Weds,1524,1563,36.67,33.33,41.38,34.48,1
Everton,Blackburn,1459,1487,30.0,20.0,41.38,31.03,1
Nott'ham Forest,Crystal Palace,1475,1475,27.59,24.14,26.67,33.33,0
Wimbledon,Southampton,1488,1516,30.0,30.0,32.26,29.03,-1
QPR,Norwich City,1522,1534,40.0,26.67,50.0,26.67,1
Liverpool,Manchester Utd,1472,1630,31.03,31.03,53.33,30.0,-1
Coventry City,Everton,1505,1478,38.71,32.26,32.26,19.35,-1
Blackburn,Southampton,1488,1515,40.0,30.0,34.38,28.12,0
Wimbledon,Middlesbrough,1501,1410,29.03,29.03,25.81,29.03,1
Oldham Athletic,Manchester Utd,1420,1605,23.33,23.33,54.84,29.03,1
Manchester City,Coventry City,1533,1490,40.0,23.33,37.5,31.25,1
Liverpool,QPR,1490,1504,30.0,30.0,41.94,25.81,1
Aston Villa,Tottenham,1604,1533,54.84,25.81,38.71,25.81,0
Sheffield Utd,Norwich City,1444,1547,29.03,22.58,48.39,25.81,-1
Chelsea,Everton,1485,1462,32.26,32.26,34.38,18.75,1
Ipswich Town,Sheffield Weds,1488,1576,32.26,45.16,40.0,33.33,-1
Coventry City,Arsenal,1473,1487,36.36,30.3,36.67,23.33,-1
QPR,Wimbledon,1488,1517,40.62,25.0,31.25,28.12,-1
Norwich City,Oldham Athletic,1557,1410,50.0,25.0,25.81,22.58,1
Southampton,Ipswich Town,1530,1473,33.33,30.3,31.25,43.75,1
Leeds United,Manchester City,1503,1515,32.26,29.03,41.94,22.58,1
Everton,Nott'ham Forest,1479,1458,33.33,18.18,26.67,26.67,1
Middlesbrough,Liverpool,1398,1502,25.0,28.12,32.26,29.03,-1
Manchester Utd,Aston Villa,1605,1604,53.12,28.12,53.12,28.12,0
Crystal Palace,Chelsea,1475,1485,25.81,35.48,34.38,31.25,0
Nott'ham Forest,Norwich City,1446,1569,25.81,25.81,51.52,24.24,-1
Ipswich Town,Coventry City,1473,1473,30.3,42.42,35.29,29.41,0
Liverpool,Everton,1517,1464,34.38,28.12,35.29,17.65,1
Arsenal,Southampton,1505,1512,38.71,22.58,35.29,29.41,1
Aston Villa,Sheffield Weds,1619,1561,51.52,30.3,41.94,32.26,1
